district,h3_count,avg_composite_score,avg_baseline_score,avg_trackA_score,avg_air_quality_score,avg_sport_count,avg_green_count,avg_education_count,avg_transit_count,best_h3_r8,best_composite_score
虹口区,42,0.9866,0.9831,0.9908,0.999,53.07,49.93,3.48,60.76,88309958cdfffff,0.9955
徐汇区,95,0.9702,0.9498,0.9952,1,40.55,41.78,2.4,48.83,883099598dfffff,0.9968
杨浦区,107,0.9278,0.9461,0.9055,0.7528,31.4,36.54,2.21,34.41,88309958d9fffff,0.9598
黄浦区,38,0.914,0.9761,0.838,0.645,88.03,94.89,2.79,84.11,8830995983fffff,0.9269
静安区,62,0.9035,0.9834,0.8059,0.5073,56.98,56.19,3.27,64,883099591bfffff,0.9121
普陀区,94,0.8406,0.9486,0.7086,0.341,33.97,46.38,2.34,39.82,8830995825fffff,0.8711
长宁区,64,0.8342,0.9589,0.6817,0.3076,44.52,64.14,2.72,49.84,8830995913fffff,0.8575
闵行区,660,0.7532,0.7442,0.7642,0.6717,12.17,21.25,0.67,14.74,88309b96c1fffff,0.9313
宝山区,554,0.6751,0.7202,0.62,0.4342,8.68,17.97,0.74,9.5,8830995125fffff,0.8926
浦东新区,2341,0.5976,0.5623,0.6409,0.7582,6.19,8.74,0.29,8.97,8830994a41fffff,0.9704
嘉定区,848,0.5959,0.6156,0.5717,0.4896,5.36,8.49,0.34,7.36,8830995b05fffff,0.8973
松江区,1053,0.4684,0.5343,0.3879,0,4.48,12.08,0.28,5.84,88309b9a9dfffff,0.8067
奉贤区,1200,0.4582,0.4296,0.4931,0.8904,2.5,3.41,0.17,3.09,88309b8c15fffff,0.9766
青浦区,1078,0.4513,0.4803,0.4159,0.328,3.16,5.84,0.19,3.73,8830982827fffff,0.8352
金山区,1053,0.3538,0.3798,0.322,0.4539,1.88,2.27,0.14,2.85,88309b1129fffff,0.87
崇明区,2055,0.2617,0.2267,0.3045,0.9162,1.34,1.48,0.07,0.97,883099c267fffff,0.9501
