rank,h3_r8,district,composite_score,baseline_score,trackA_score,mean_aqi,sport_count,green_count,education_count,transit_count
1,883099598dfffff,徐汇区,0.9968,0.9994,0.9935,64.69,190,100,8,108
2,88309959adfffff,徐汇区,0.9967,0.9944,0.9996,64.69,81,95,0,126
3,88309959e3fffff,徐汇区,0.9965,0.9992,0.9933,64.69,83,105,9,71
4,88309959a9fffff,徐汇区,0.9962,0.9976,0.9946,64.69,42,24,2,67
5,88309959ebfffff,徐汇区,0.996,0.9987,0.9928,64.69,62,116,2,60
6,8830995985fffff,徐汇区,0.9959,0.9981,0.9933,64.69,70,34,7,64
7,88309959abfffff,徐汇区,0.9958,0.9957,0.9959,64.69,165,33,7,153
8,88309b96dbfffff,徐汇区,0.9956,0.9933,0.9984,64.69,136,363,3,117
9,88309959e7fffff,徐汇区,0.9956,0.9973,0.9936,64.69,86,121,4,65
10,88309958cdfffff,虹口区,0.9955,0.9994,0.9907,64.7,295,173,6,117
